,,,,
INDICE,COLOR,TIPO,TEXTO,FLAVOR
1,Verde,Personajes,El Pollo Brito,"El hombre que es capaz de meterle un solo de cuatro y un ""¡Epa!"" a cualquier canción del mundo, incluyendo el reguetón más oscuro o una de Metallica."
2,Verde,Personajes,"Nagueboná, Vladimir","El reclamo viral que repetimos sin saber bien por qué"
3,Verde,Personajes,Miguel Cabrera,Un señor que batea pelotazos a 400 pies de distancia en el imperio pero que celebra los triunfos con un flow de malandro de Maracay
4,Verde,Personajes,El Gocho,"El ser más trabajador, amable y respetuoso del país, hasta que maneja un camión de verduras bajando la autopista a 120 km/h sin frenos."
5,Verde,Personajes,El Valenciano,"Ciudadano de la capital del ""Epa, pana"". Se rumorea que nacen con una camisa de marca y un odio natural hacia los caraqueños."
6,Verde,Personajes,El Caraqueño,"Alguien que cree que después de los túneles de Tazón todo lo demás es ""monte y culebra"", aunque sufre tres horas de cola para comprar pan."
7,Verde,Personajes,El Oriental,"Todo es 'a la orden, vale'; vive entre playa, pesca y relax"
8,Verde,Personajes,El Maracucho,"El único ser humano capaz de usar el ""¡Qué molleja!"" como sustantivo, verbo, adjetivo y declaración de guerra, todo bajo un calor de 42°C."
9,Verde,Personajes,Maite Delgado,"El estándar de elegancia nacional. Si ella no dice ""¡Buenas noches, Poliedro!"", el evento simplemente no cuenta."
10,Verde,Personajes,Deyna Castellanos,"La mujer que demostró que en Venezuela el fútbol también se juega con clase, tacos y goles de media cancha que dejan a los hombres llorando."
11,Verde,Personajes,El bachaquero de la esquina,"Un economista empírico que no estudió en Harvard, pero te calcula el cambio del dólar flotante, paralelo y del futuro en tres segundos."
12,Verde,Espanto,El Silbón,"Un gigantón con complejo de músico frustrado que carga un saco de huesos. Si lo escuchas lejos, corre a rezar; si lo escuchas cerca... bueno, ya no importa."
13,Verde,Espanto,La Sayona,La pesadilla de los hombres infieles. 
14,Verde,Espanto,La Loca Luz Caraballo,El personaje andino que perdió la cuenta de los hijos y la cordura. La excusa perfecta que usan tus amigos cuando andas buscando algo y no lo encuentras.
15,Verde,Personajes,El Doctor Knoche,El mismísimo Dr. Frankenstein del Ávila. 
16,Verde,Personajes,Ánima del Purgatorio,"A la que le prenden una vela para que cuide el carro o ayude a pasar el examen. Eso sí, si le quedas mal, te jala las patas a medianoche."
17,Verde,Dichos,"""Quedar como novia de pueblo""","El estado máximo de la decepción. Vestido, alborotado y esperando en la plaza por algo que obviamente nunca iba a llegar."
18,Verde,Dichos,"""Ponerse las alpargatas""","El aviso oficial de que la situación se puso color de hormiga. Porque lo que viene no es joropo, es rock pesado."
19,Verde,Dichos,"""Echarle Bolas""","El acto heroico de trabajar duro contra todo pronóstico, la luz, el agua y CANTV, con una sonrisa en la cara."
20,Verde,Dichos,"""Más perdido que el hijo de Lindbergh""",¿El hijo de quien?
21,Verde,Dichos,"""Matar un tigre""",El arte de la supervivencia económica. Hacer tres trabajos extra que no tienen nada que ver con tu profesión para poder llegar a la quincena.
22,Verde,Comida,"Un perro caliente ""Con Todo"" a las 3:00 a.m.","Una obra de arte de la ingeniería callejera que desafía las leyes de la gravedad y de la digestión. Lleva repollo, papitas y 14 salsas misteriosas."
23,Verde,Comida,"La empanada ""Operada""","Una empanada normal a la que abren a la mitad sin piedad para meterle queso, carne, tajada y todo lo que quepa. Ingeniería pura."
24,Verde,Comida,Queso guayanés derretido,El único material en el universo capaz de estirarse desde la mesa hasta la boca de tu vecino sin romperse.
25,Verde,Comida,"Una arepa de ""Dominó""","La combinación perfecta de caraotas negras y queso blanco. Deliciosa para el paladar, peligrosa para los que duermen contigo esa noche."
26,Verde,Comida,"El ""Pegao"" de la olla de arroz",El oro crujiente del fondo de la olla por el cual los hermanos menores están dispuestos a batirse a duelo con cucharas de palo.
27,Verde,Musica,Mercedes,El cuento de la vaca que se metió en el caño por floja y el caimán la agarró. La metáfora venezolana perfecta para el que se busca sus propios problemas.
